ID,Kommune,Ordfører,Parti,Innbyggerantall 2013,Innbyggerantall 2017,Antall skoler 2013,Antall skoler 2017,Antall eldrehjem/omsorgssenter 2013,Antall eldrehjem/omsorgssenter 2017,Antall barnehager 2013,Antall barnehager 2017,Antall idrettshaller og svømmehaller 2013,Antall idrettshaller og svømmehaller i 2017,Antall polutsalg 2013,Antall polutsalg 2017,Antall dagligvarebutikker i 2013,Antall dagligvarebutikker i 2017,Antall industribedrifter 2013,Antall industribedrifter 2017,Antall statlige arbeidsplasser 2013,Antall statlige arbeidsplasser 2017,Antall nedlagte bruk siste..(SSB),Har det skjedd en endring i de statlige overføringene til din kommune siste fire år? Hvordan i så fall?,,Opplever du at din kommune er utsatt for en sentralisering? Hvordan i så fall?,Har regjeringen gjennomført tiltak som har gitt positiv effekt for din kommune? Hva i så fall?,Har regjeringen gjennomført tiltak som har gitt negativ effekt for din kommune? Hvilke i så fall?,Hva er din kommunes største utfordring?,"Klarer dere å levere de tjenestene innbyggerne skal ha (skole, eldreomsrorg, barnevern etc)?",Hva mener du skal til for å opprettholde levekraftige distrikter?,Hva er det beste og verste med bygda/distriktet?,Hva er det beste og verste med byen?,Hvorfor bor du på bygda/distriktet?, Hvordan ser kommunen din ut om fem år? Er du mest optimistisk eller mest pessimistisk?,Fins det egne verdier på bygda/distriktet? Er de under press?,Hvordan er situasjonen for Heimevernet i din kommune? ,Hvordan er brannberedskapen i din kommune? Endring?,Hvordan er ambulanseberedskapen i din kommune?,Hvordan er den offentlige kommunikasjonen og infrastrukturen? Endring?,Fortell om din kommunes største suksess siste fire år?,Fortell om din kommunes største fiasko siste fire år?
osen,Osen,Johan Einar Høvik,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roan,Roan,Einar Eian,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afjord,Åfjord,Vibeke Stjern ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjugn,Bjugn,Ogne Undertun ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rissa,Rissa,Ove Vollan ,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
froya,Frøya,Berit Flåmo,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitra,Hitra,Ole Haugen ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snillfjord,Snillfjord,Johan Lernes ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hemne,Hemne,Odd Jarle Svanem ,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orkdal,Orkdal,Oddbjørn Bang ,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meldal,Meldal,Are Hilstad,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
melhus,Melhus,Gunnar Krogstad ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selbu,Selbu,Ole Morten Balstad ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oppdal,Oppdal,Kirsti Welander,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rennebu,Rennebu,Ola Øie ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midtre_gauldal,Midtre Gauldal,Sivert Moen ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tydal,Tydal,Ole Bjarne Østby ,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roros,Røros,Hans Vintervold ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agdenes,Agdenes,Oddvar Indergård,Bygdeliste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holtalen,Holtålen,Jan Håvard Refsethås,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klaebu,Klæbu,Kirsti Tømmervold,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malvik,Malvik,Ingrid Aune,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skaun,Skaun,Jon P. Husby ,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orland,Ørland,Tom Myrvold,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flatanger,Flatanger,Olav Jørgen Bjørkås ,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fosnes,Fosnes,Trygve Sandvik ,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frosta,Frosta,Trine Haug ,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grong,Grong,Skjalg Åkerøy,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoylandet,Høylandet,Hege Norheim-Viken,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inderoy,Inderøy,Ida Stuberg,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leka,Leka,Per Helge Johansen,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leksvik,Leksvik,Steinar Saghaug,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanger,Levanger,Robert Svarva,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lierne,Lierne,Bente Estil,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meraker,Meråker,Kari Anita Furnes,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
namdalseid,Namdalseid,Steinar Lyngstad ,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
namsos,Namsos,Arnhild Holstad ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naeroy,Nærøy,Steinar Aspli ,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overhalla,Overhalla,Per Olav Tyldum ,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royrvik,Røyrvik,Hans Oskar Devik ,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snasa,Snåsa,Tone Våg ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steinkjer,Steinkjer,Bjørn Arild Gram ,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verdal,Verdal,Bjørn Iversen ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stjordal,Stjørdal,Ivar Vigdenes ,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verran,Verran,Anders Lindstrøm ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vikna,Vikna,Amund Hellesø ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
namsskogan,Namsskogan,Stian Brekkvassmo,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,